"","test.user_id_str"
"1",86097578
"2",2231658079
"3",42219738
"4",1268704757570551808
"5",3241822958
"6",2245099266
"7",887487417476722688
"8",207361599
"9",159879408
"10",792261005116051456
"11",4838972504
"12",911449694
"13",1209243203624304640
"14",464120575
"15",702136295074766848
"16",1675834574
"17",886692571
"18",772500008
"19",47833617
"20",14329596
"21",53432272
"22",825874962460323840
"23",20966971
"24",39365037
"25",584350121
"26",1227746913564463104
"27",964603058888978432
"28",2981976412
"29",1250691310089957376
"30",856578763
"31",4903612811
"32",1228215847040061440
"33",2167396675
"34",4767626898
"35",4848349299
"36",381917248
"37",1188110434500403200
"38",767434519418773504
"39",1285739143675420672
"40",948600135956779008
"41",819325540146384896
"42",1148541931103956992
"43",1005529699601338368
"44",1411550354
"45",704462639242616832
"46",27326682
"47",1228866586045403136
"48",792375469219909632
"49",540059552
"50",1257308685765767168
"51",1268008065908895744
"52",1071205429680603136
"53",1275345687413219328
"54",786425280235577344
"55",757684264733282304
"56",1271122371202756608
"57",1261482446559817728
"58",475270365
"59",1229039533620178944
"60",57027779
"61",1173546194599104512
"62",22431845
"63",1266905456313696256
"64",14234661
"65",1270463801759072256
"66",732995789425770496
"67",1111668977695186944
"68",874606098
"69",956969712390492160
"70",22095918
"71",808071043248111616
"72",808648679645069312
"73",172040118
"74",3471869902
"75",1247136289713016832
"76",838864731310075904
"77",810634528050053120
"78",62579869
"79",1272939802661396480
"80",1026684533364547584
"81",947024822327918592
"82",2732784567
"83",538042176
"84",19635027
"85",54326070
"86",784840561987465216
"87",1259350454565289984
"88",1.281474036871e+18
"89",538042176
"90",1125217740820832256
"91",1257913171492339712
"92",273129417
"93",569416228
"94",1153929332127129600
"95",373254153
"96",812857233188888576
"97",24548059
"98",831344658286407680
"99",4711406415
"100",65825692
"101",821261564585988096
"102",30083350
"103",3722128037
"104",735305237884456960
"105",135980794
"106",251448803
"107",1258061373965086720
"108",1258061373965086720
"109",412522465
"110",806928397330853888
"111",295970796
"112",1265866141622169600
"113",1170061636960489472
"114",973932077249802240
"115",785188777752825856
"116",2416974884
"117",1190277198822989824
"118",2480765648
"119",297670560
"120",74306333
"121",1192179912641265664
"122",78261328
"123",2744438383
"124",1002330688857632768
"125",1265373490271698944
"126",996232996523933696
"127",2480765648
"128",1285637268795879424
"129",49869062
"130",956719622232924160
"131",831892718
"132",412522465
"133",709154206674866176
"134",1029432889
"135",705525476
"136",4813377193
"137",874740812
"138",912605084617527296
"139",1070745020586692608
"140",3601121414
"141",1261811891183050752
"142",110603415
"143",222887440
"144",1243772743662764032
"145",1213874306515554304
"146",49126745
"147",740536263409688576
"148",1268391241982578688
"149",1053650109366521856
"150",1151887831104720896
"151",1250875366614478848
"152",1059604667905269760
"153",1248760361504866304
"154",1111362947995979776
"155",399251929
"156",3283105345
"157",707092445377404928
"158",733728987076296704
"159",956719622232924160
"160",1177967594986455040
"161",2192010002
"162",896976426930511872
"163",1214407285
"164",1095417144202784768
"165",1282154815615836160
