"","test.user_id_str"
"1",221661137
"2",1263861736068706304
"3",2813812456
"4",1169462952757551104
"5",3374798174
"6",1210139155788906496
"7",4665287610
"8",614943183
"9",555413822
"10",195482280
"11",1177486265383415808
"12",1060821111112294400
"13",117091082
"14",992408775419052032
"15",4850346213
"16",1259275350888062976
"17",1273616152388726784
"18",968670936282132480
"19",1244332041988116480
"20",1079083951950569472
"21",702545696763879424
"22",3240506202
"23",876647100
"24",165328831
"25",120425973
"26",1235375795490697216
"27",3315193951
"28",1233809752272011264
"29",1235481723485356032
"30",1199715568992931840
"31",1964118115
"32",471300730
"33",1163341761365925888
"34",1191757749052477440
"35",3315193951
"36",4805891677
"37",1247833605646069760
"38",1116377082227859456
"39",207393860
"40",289240109
"41",1882791048
"42",829159266074255360
"43",815406559727493120
"44",154497945
"45",64203486
"46",324507238
"47",80762751
"48",29306906
"49",49316270
"50",948464246064427008
"51",909065769727623168
"52",894217820648513536
"53",894217820648513536
"54",778923280904355840
"55",850848692202389504
"56",1253642319951130624
"57",627999812
"58",400907432
"59",419681799
"60",564588470
"61",1252097199741247488
"62",857843317769478144
"63",561233102
"64",221388139
"65",967825958999801856
"66",380559361
"67",1220427783769227264
"68",58038134
"69",3995882472
"70",961798826028818432
"71",69874367
"72",1223446315670986752
"73",930992282169307136
"74",4103419937
"75",980136995551956992
"76",130048397
"77",2563255664
"78",1029588691948199936
"79",187936720
"80",713992685871169536
"81",1268352507379462144
"82",479531761
"83",1308524022
"84",1627620962
"85",47858151
"86",132419220
"87",567429337
"88",4040065154
"89",712387674204545024
"90",708887473724768256
"91",22551209
"92",1274277114078851072
"93",800689400778616832
"94",1267188041053077504
"95",1274277114078851072
"96",13443742
"97",102531392
"98",576286922
"99",3301222909
"100",1491174102
"101",1032370235200815104
"102",760913313484070912
"103",1661561491
"104",88357331
"105",1251551204326494208
"106",1264017077607837696
"107",93447050
"108",1191568559798927360
"109",1178400217676148736
"110",1115767293835927552
"111",1274277114078851072
"112",842010346038673408
"113",18477980
"114",1571007800
"115",3267302154
"116",2706121200
"117",753987478130823168
"118",1046808130829651968
"119",1183419143782973440
"120",1363723236
"121",2522930364
"122",4889693401
"123",300267063
"124",35196174
"125",1150783193278115840
"126",36824508
"127",3282914310
"128",215171714
"129",1271799771678732288
"130",372677761
"131",898757756848680960
"132",2714309934
"133",898757756848680960
"134",581083061
"135",1007079761640747008
"136",1108789097554862080
"137",16845201
"138",1207018754061717504
"139",1157714570804260864
"140",1212257505234939904
"141",123468511
"142",997151105703383040
"143",416412239
"144",1211416036248915968
"145",47712007
"146",732460306991960064
"147",951857271037771776
"148",95871559
"149",1154649990838362112
"150",1214831843880472576
"151",1205987374720864256
"152",1266310055814524928
"153",1547506087
"154",914799569053081600
"155",824301489430687744
"156",1207556046568345600
"157",131182756
"158",33874359
"159",1144857690251726848
"160",1258680896145612800
"161",712714216583528448
"162",948923774337933312
"163",866980432109342720
"164",70914003
"165",2356698637
"166",1592603066
"167",1210168785564389376
"168",85277434
"169",319670966
"170",1622316866
"171",67041095
"172",1210311117165101056
"173",952981731900116992
"174",58427663
"175",3314769560
"176",1268373810195189760
"177",901126141406203904
"178",1200753180
"179",88282583
"180",1267513127605686272
"181",1464580200
"182",1099009824371597312
"183",127739956
"184",1243132123315347456
"185",930283648145911808
"186",859136585111142400
"187",760913313484070912
"188",3230512663
"189",1049814472817344512
"190",1329423666
"191",1036367413053276160
"192",1267498142804717568
"193",3375673138
"194",945839611
"195",1433110772
"196",4838760919
"197",888131245451825152
"198",895520196382863360
"199",866831000831234048
