"","test.user_id_str"
"1",788225358923522048
"2",853605544510095360
"3",870388747967266816
"4",913807892377214976
"5",384596964
"6",1227647669956468736
"7",17444386
"8",17056659
"9",1198552342053961728
"10",946441634
"11",1032282121052803072
"12",1243009260667015168
"13",742834352283734016
"14",15422042
"15",554076749
"16",4186710677
"17",1223717591430172672
"18",956341430858891264
"19",860669334
"20",535873240
"21",1143153906068918272
"22",3068411643
"23",1584642012
"24",1143752870904266752
"25",22984882
"26",3145408111
"27",967926666814144512
"28",2846098260
"29",1113245642
"30",110162979
"31",3166145611
"32",718686947800014848
"33",231423661
"34",1.072435472801e+18
"35",938815830
"36",873243062604107776
"37",917236859243323392
"38",1528001983
"39",3308291755
"40",908815360429903872
"41",7.32452000064e+17
"42",1238332102820671488
"43",954434958528884736
"44",716680644076527616
"45",818297082960351232
"46",985868743220846592
"47",822503396213215232
"48",1097637851439775744
"49",1797274968
"50",34550492
"51",959888084446928896
"52",71609345
"53",1091876376049799168
"54",310471172
"55",1234547282084814848
"56",480447278
"57",822920143160377344
"58",2602494863
"59",967637644552425472
"60",893215642781757440
"61",1049465937995284480
"62",4733977452
"63",949395649874841600
"64",1115731022878892032
"65",30409067
"66",1238599013428908032
"67",740457967762460672
"68",241903904
"69",1177069279906324480
"70",800510577516769280
"71",954447711536758784
"72",4552682975
"73",2914376584
"74",1108538727037456384
"75",42096158
"76",1227385865229434880
"77",708701811209740288
"78",1048369022
"79",510175707
"80",1189698065860644864
"81",1212030419362668544
"82",1238939102675943424
"83",1198652676545884160
"84",820291236409942016
"85",881538455901134848
"86",1142632783841583104
"87",1.227089530551e+18
"88",405628741
"89",1109630316866494464
"90",954190967422242816
"91",2780841754
"92",2931593552
"93",1038468568126509056
"94",736106172
"95",700466626844446720
"96",2942073954
"97",112248241
"98",589352617
"99",3263349375
"100",30453703
"101",1176768935284203520
"102",221350348
"103",918276091784990720
"104",939103541112725504
"105",27500515
"106",534390854
"107",54086042
"108",806218205622509568
"109",297822295
"110",1024271794130186240
"111",1239639047649349632
"112",17840510
"113",1922138935
"114",931023807388766208
"115",1198652676545884160
"116",1164945668147830784
"117",954201332608589824
"118",16252092
"119",903469484970614784
"120",1927790688
"121",735101078
"122",1186521200379551744
"123",3647446992
"124",832624125650804736
"125",30453703
"126",955513280654553088
"127",1198654690541613056
"128",1.089721719366e+18
"129",39637072
"130",774699551764525056
"131",1242306284830912512
"132",3280184970
"133",753306672672628736
"134",930657807598157824
"135",546242422
"136",87504275
"137",1973267701
"138",221650234
"139",1245135602380652544
"140",2175446482
"141",14496320
"142",2411569896
"143",2454317240
"144",1109276909681238016
"145",331825712
"146",320530135
"147",741977462028926976
"148",1222372068534169600
"149",84260505
"150",1559025151
"151",822941081859985408
"152",827187458244751360
"153",2218867747
"154",1.052758361631e+18
"155",468235667
"156",318116290
"157",25436570
"158",137403286
"159",1239703121347006464
"160",1002383524496674816
"161",976206931789582336
"162",23138197
"163",630701195
"164",1017618373482504192
"165",3832970419
"166",906959507451817984
"167",361204798
"168",632527224
"169",17123583
"170",735537593648025600
"171",1011039946272935936
"172",1014412456188436480
"173",859219800
"174",441469017
"175",4040065154
"176",922602816463499264
"177",4821375853
"178",922047901
"179",542751106
"180",537473121
"181",2829196009
"182",16877851
"183",719722758737960960
"184",1148991376765390848
"185",1063955061716316160
"186",1047543304580227072
"187",729359970
"188",2193702882
"189",1713717439
"190",1012435507630895104
"191",790033898960920576
"192",34339467
"193",55915345
"194",1204230348609064960
"195",711951712
"196",2745586407
"197",2432820462
"198",849924731042181120
"199",930819487
"200",488031378
"201",888961320124547072
"202",546627481
"203",1156275414962253824
"204",253637278
"205",27500515
"206",82391199
"207",2898720509
"208",3155025981
"209",1018932512
"210",1209662549479829504
"211",194391924
"212",1026684533364547584
"213",59344493
"214",265066872
"215",248781239
"216",72169850
"217",1239692685792800768
"218",22984882
"219",1079214531551752192
"220",755227997557313536
"221",318694851
"222",1656034184
"223",2198402203
"224",909873580544020480
"225",828655316942385152
"226",885944773
"227",246883126
"228",29446296
"229",1074326317
"230",1108438277625831424
"231",532438266
"232",711951712
"233",18307273
"234",827541813883965440
"235",960212463475191808
"236",793076286054817792
"237",1014550694626406400
"238",1146719971336171520
"239",2381707450
"240",47824012
"241",818940015153549312
"242",247130062
"243",1054776106744713216
"244",944343612208369664
"245",219824791
"246",702612023885107200
"247",863693749
"248",622709207
"249",376504586
"250",3762230532
"251",4343024538
"252",3443054532
"253",2237788747
"254",1038893408654249984
"255",1016339753447444480
"256",822281828153364480
"257",1230957647978909696
"258",739800339138940928
"259",108818446
"260",395363811
"261",277018759
"262",1026359427761201152
"263",1005786771290853376
"264",4379739974
"265",70973076
"266",1732114914
"267",894746377015525376
"268",1016339753447444480
"269",1.174014531603e+18
"270",1079456259298992128
"271",1242368592915636224
"272",784632679027372032
"273",570115053
"274",286724358
"275",171816320
"276",257088807
"277",1234681922997161984
"278",261891976
"279",3241588123
"280",1906509180
"281",1035026394693087232
"282",607515542
"283",783524485966233600
"284",1172907035157041152
"285",1225407345704030208
"286",2995983269
"287",1052667788785930240
"288",780233778388008960
"289",1242306284830912512
"290",813277292206166016
"291",3438810016
"292",4834265080
"293",187353656
"294",1215501781817528320
"295",1007329230345007104
"296",2167809763
"297",752566607092649984
"298",1242132834787168256
"299",722715266
"300",802803727233122304
"301",917411224429744128
"302",1191120775505498112
"303",2177735972
"304",413803178
"305",602375668
"306",797586734578040832
"307",1153003448440426496
"308",778427264916566016
"309",790223833995313152
"310",872945128926625792
"311",2869696906
"312",801876800951357440
"313",19350395
"314",28930652
"315",770879618
"316",884833700491427840
"317",874982528351961088
"318",907457766377193472
"319",481856684
"320",938989990825959424
"321",499417827
"322",758751597983703040
"323",18204604
"324",837855982155878400
"325",1262960718
"326",4841475441
"327",1856183472
"328",502197865
"329",1146489396625137664
"330",775112667702767616
"331",4841475441
"332",26691920
"333",2379382080
"334",36311946
"335",3424433111
"336",377020096
"337",37220465
"338",2838450295
"339",19350395
"340",1921512186
"341",404851523
"342",2997180001
"343",1223034840934580224
"344",2807395473
"345",37250497
"346",1226443616740093952
"347",4325817255
"348",745118600453709824
"349",819189273798864896
"350",117798867
"351",788911340853288960
"352",347613960
"353",822798564967518208
"354",302425599
"355",4828075607
"356",2991286143
"357",2915184342
"358",1201411635627225088
"359",1190149617360474112
"360",26268585
"361",1108482522365743104
"362",1043592939597963264
"363",1301974039
"364",3281897102
"365",910243249553641472
"366",1350554197
"367",499417827
"368",1.033962095963e+18
"369",825514988190187520
"370",789337788466405376
"371",8948242
"372",21984562
"373",323953287
"374",69060179
"375",1158832302618828800
"376",831716407
"377",3438614458
"378",1239776118472933376
"379",1239776118472933376
"380",14752306
"381",1155109039509925888
"382",54612912
"383",2937691534
"384",778766091468234752
"385",381714870
"386",726208997854990336
"387",894388016516665344
"388",1143181573849800704
"389",149803586
"390",545455811
"391",1241769241948442624
"392",1217830349796970496
"393",480572063
"394",1014920677277614080
"395",3024243508
"396",812395119932534784
"397",29516808
"398",1224735284761448448
"399",1103130432286216192
"400",1038520656583958528
"401",1409453064
"402",795395107839090688
"403",545455811
"404",857458684267438080
"405",2381707450
"406",93992192
"407",131211142
"408",243015104
"409",789054295521890304
"410",513388665
"411",780566672956547072
"412",1018690757983592448
"413",715707744783695872
"414",88712568
"415",1185303704381071360
"416",328537556
"417",975364037931421696
"418",822204598685343744
"419",1230906400978743296
"420",171816320
"421",109351574
"422",1059683835321991168
"423",339408485
"424",1221525016581300224
"425",402410698
"426",29577250
"427",17734932
"428",1240232587
"429",26700505
"430",82277883
"431",17791062
"432",3146781148
"433",923206467137802240
"434",76731190
"435",1189743457943863296
"436",1180273245091778560
"437",801287710186946560
"438",3257079919
"439",785094175167361024
"440",707282012608925696
"441",2204088279
"442",3408465628
"443",1238569531016007680
"444",1174131178464403456
"445",1192076189835415552
"446",472930516
"447",1070508536239665152
"448",836346872
"449",614103640
"450",2915184342
"451",117798867
"452",8.95433490489e+17
"453",2364045046
"454",577748762
"455",323681102
"456",1206726990847459328
"457",964034319357562880
"458",951927957899108352
"459",4514046192
"460",1161369043196108800
"461",1141221981179695104
"462",4633751308
"463",3161604048
"464",1046585387546599424
"465",912521923644489728
"466",50132544
"467",1095952214206623744
"468",518279824
"469",137168416
"470",1227405824986951680
"471",827541813883965440
"472",1175838489763569664
"473",3178148457
"474",444197859
"475",4514046192
"476",825461822295834624
"477",1220579117172711424
"478",29400592
"479",2651725326
"480",1134606621718528000
"481",930872267952742400
"482",137168416
"483",917488476399923200
"484",4514046192
"485",552790278
"486",795509008161337344
"487",4592415394
"488",996360649524633600
"489",270833117
"490",2683134085
"491",1181698588906180608
"492",983571382100410368
"493",3404835132
"494",982738305304485888
"495",978703602989625344
"496",531953874
"497",270061575
"498",2591181143
"499",4766281718
"500",2341589400
"501",1103715945426702336
"502",1608673782
"503",1227086863636160512
"504",1054804839538950144
"505",817494809015304192
"506",801957210469187584
"507",1242522984310542336
"508",4331408053
"509",531953874
"510",706156588407529472
"511",830656650214199296
"512",1214620760544882688
"513",1233528473253076992
"514",1028500690396762112
"515",814228802373042176
"516",708034464429903872
"517",3323389902
"518",309771645
"519",1217673022984712192
"520",827269043795005440
"521",1122055178
"522",144813301
"523",458432162
"524",981956544836272128
"525",967903668581253120
"526",756547846824787968
"527",29774065
"528",2758984424
"529",1204907263531503616
"530",3184890253
"531",760291911940894720
"532",821562735762743296
"533",2999012459
"534",816467748184276992
"535",1174461542915379200
"536",64090894
"537",52328897
"538",2658842593
"539",935739601301458944
"540",789738380
"541",1244444442087620608
"542",914836479800573952
"543",823054481311014912
"544",1218486483448889344
"545",1132992913225519104
"546",119295989
"547",289836894
"548",1160037568441831424
"549",790223833995313152
"550",261853354
"551",38017472
"552",104200729
"553",899763909606985728
"554",623258004
"555",1019051198177947648
"556",44584651
"557",122726288
"558",4304419334
"559",32861990
"560",8948242
"561",1031220439652225024
"562",796451479779508224
"563",1025494338137219072
"564",426236097
"565",1168158895715622912
"566",2958382227
"567",14659433
"568",1017181886190321664
"569",2686304564
"570",17225430
"571",3431958670
"572",15694426
"573",3086133399
"574",783388998370725888
"575",538542758
"576",17225430
"577",712742150836854784
"578",44423200
"579",829798501311717376
"580",3242552538
"581",347485999
"582",2802845137
"583",512037934
"584",66205247
"585",371793453
"586",767638729
"587",1166779323136634880
"588",1091347345
"589",935340182
"590",892195570416144384
"591",1223677313788735488
"592",702637199087382528
"593",2785224444
"594",822468284167626752
"595",3271255423
"596",113262091
"597",4518648077
"598",949407894394556416
"599",997132795918082048
"600",30388445
"601",1176541440786255872
"602",1128777906421936128
"603",2219921060
"604",2315854633
"605",16219150
"606",1238858484675801088
"607",828914963209129984
"608",458218723
"609",136405165
"610",4688375551
"611",2195439925
"612",823402010988802048
"613",3252914051
"614",3281897102
"615",482970785
"616",3296009799
"617",391621877
"618",962145988889731072
"619",1044117677508243456
"620",1228683761459585024
"621",4083455412
"622",832006179819757568
"623",193759500
"624",945880848506806272
"625",494690818
"626",1338210632
"627",44536669
"628",54412618
"629",1592603066
"630",988068354
"631",34231614
"632",4734826966
"633",1180135105882415104
"634",4731427049
"635",1080974939446861824
"636",796204867962499072
"637",858790351523397632
"638",289019185
"639",424864218
"640",438037968
"641",883147630636916736
"642",727681072616497152
"643",828010028711952384
"644",742007984499261440
"645",2696693504
"646",420909648
"647",1.242506446002e+18
"648",788828832925151232
"649",221577403
"650",1.242506446002e+18
"651",828655316942385152
"652",1047544325746450432
"653",342896523
"654",93665330
"655",1214078673407467520
"656",18018468
"657",820697856210108416
"658",937177038510727168
"659",831953131080712192
"660",798310069335048192
"661",201187818
"662",1037541129019842560
"663",1323323119
"664",1051167847865434112
"665",1243574972045557760
"666",1141065170124361728
"667",2400728665
"668",3220777184
"669",1151564683
"670",751640305732980736
"671",41374298
"672",1068900707489714176
"673",1041907541524049920
"674",533925202
"675",2496276174
"676",526601851
"677",415483210
"678",1148677788615892992
"679",949433393045037056
"680",753616971107663872
"681",1601319565
"682",124322593
"683",766190827265753088
"684",192241453
"685",37186314
"686",52261691
"687",821225942420852736
"688",821929937594712064
"689",772197751492743168
"690",786595615618715648
"691",892498828821241856
"692",716207945365716992
"693",4205677403
"694",24677438
"695",1191654624
"696",2688873620
"697",754901630101753856
